season,pts,pf,tov,blk,stl,ast,orb,drb,age,x3p_percent,x2p_percent,ft_percent
1996,1.9583322276181203,-1.84452303431758,-6.287230081906181,-6.767291424780231,2.522707133362867,5.252121570949275,-6.199953289737081,4.00158478605388,7.083221115001348,4.240803678528593,4.088486940858593,0.6432309332299768
2006,2.454425094205126,-6.256481833581084,-5.4947388611826575,7.805750539956802,-1.3719168825318095,7.387968801179179,-3.2387867515559,6.056980377804688,5.805304010349288,1.9575471698113356,2.336473327688382,0.27859828141783005
2016,3.412822320709097,-1.8392871334339977,-5.2187035916616225,5.1313352416231695,4.0851142615319525,1.9568381106771726,0.05953310430979464,2.8985484828985886,6.997018408089195,2.3004302103250662,3.454968944099379,0.0005497405224819119
2025,5.037007612707289,-3.0444184687317466,-7.470110701107013,2.697201017811701,5.236764911300451,4.158519852499798,-4.246024049650899,4.169772256728788,5.208853980721173,4.787815673001816,4.433962264150937,0.9859320046893272
